code,label,note
1,Most deprived 10%,field introduced in 2016
2,More deprived 10-20%,field introduced in 2016
3,More deprived 20-30%,field introduced in 2016
4,More deprived 30-40%,field introduced in 2016
5,More deprived 40-50%,field introduced in 2016
6,Less deprived 40-50%,field introduced in 2016
7,Less deprived 30-40%,field introduced in 2016
8,Less deprived 20-30%,field introduced in 2016
9,Less deprived 10-20%,field introduced in 2016
10,Least deprived 10%,field introduced in 2016
-1,Data missing or out of range,field introduced in 2016
