code,label,note
0,Pedestrian,
1,Cyclist,
2,Motorcycle 50cc and under rider or passenger,
3,Motorcycle 125cc and under rider or passenger,introduced in 1999 specification
4,Motorcycle over 125cc and up to 500cc rider or  passenger,introduced in 2005 specification
5,Motorcycle over 500cc rider or passenger,introduced in 2005 specification
8,Taxi/Private hire car occupant,introduced in 2005 specification
9,Car occupant,introduced in 2005 specification
10,Minibus (8 - 16 passenger seats) occupant,introduced in 1999 specification
11,Bus or coach occupant (17 or more pass seats),
16,Horse rider,introduced in 1999 specification
17,Agricultural vehicle occupant,introduced in 1999 specification
18,Tram occupant,introduced in 1999 specification
19,Van / Goods vehicle (3.5 tonnes mgw or under) occupant,
20,Goods vehicle (over 3.5t. and under 7.5t.) occupant,introduced in 1999 specification
21,Goods vehicle (7.5 tonnes mgw and over) occupant,introduced in 1999 specification
22,Mobility scooter rider,introduced in 2011 specification
23,Electric motorcycle rider or passenger,introduced in 2011 specification
90,Other vehicle occupant,introduced in 2011 specification
97,Motorcycle - unknown cc rider or passenger,introduced in 2011 specification
98,Goods vehicle (unknown weight) occupant,introduced in 2011 specification
99,Unknown vehicle type (self rep only),introduced in 2011 specification
103,Motorcycle - Scooter (1979-1998),dropped in 1999 specification
104,Motorcycle (1979-1998),dropped in 1999 specification
105,Motorcycle - Combination (1979-1998),dropped in 1999 specification
106,Motorcycle over 125cc (1999-2004),dropped in 2005 specification
108,Taxi (excluding private hire cars) (1979-2004),dropped in 2005 specification
109,Car (including private hire cars) (1979-2004),dropped in 2005 specification
110,Minibus/Motor caravan (1979-1998),dropped in 1999 specification
113,Goods over 3.5 tonnes (1979-1998),dropped in 1999 specification
-1,Data missing or out of range,
