code,label,note
0,Not at junction or within 20 metres,data collected in the 2011 STATS19 specification (or earlier)
1,Roundabout,data collected in the 2011 STATS19 specification (or earlier)
2,Mini-roundabout,data collected in the 2011 STATS19 specification (or earlier)
3,T or staggered junction,data collected in the 2011 STATS19 specification (or earlier)
5,Slip road,data collected in the 2011 STATS19 specification (or earlier)
6,Crossroads,data collected in the 2011 STATS19 specification (or earlier)
7,More than 4 arms (not roundabout),data collected in the 2011 STATS19 specification (or earlier)
8,Private drive or entrance,data collected in the 2011 STATS19 specification (or earlier)
9,Other junction,data collected in the 2011 STATS19 specification (or earlier)
99,unknown (self reported),data collected in the 2011 STATS19 specification (or earlier)
-1,Data missing or out of range,data collected in the 2011 STATS19 specification (or earlier)
