code,label,note
0,On main c'way - not in restricted lane,data collected in the 2011 STATS19 specification (or earlier)
1,Tram/Light rail track,data collected in the 2011 STATS19 specification (or earlier)
2,Bus lane,data collected in the 2011 STATS19 specification (or earlier)
3,Busway (including guided busway),data collected in the 2011 STATS19 specification (or earlier)
4,Cycle lane (on main carriageway),data collected in the 2011 STATS19 specification (or earlier)
5,Cycleway or shared use footway (not part of  main carriageway),data collected in the 2011 STATS19 specification (or earlier)
6,On lay-by or hard shoulder,data collected in the 2011 STATS19 specification (or earlier)
7,Entering lay-by or hard shoulder,data collected in the 2011 STATS19 specification (or earlier)
8,Leaving lay-by or hard shoulder,data collected in the 2011 STATS19 specification (or earlier)
9,Footway (pavement),data collected in the 2011 STATS19 specification (or earlier)
10,Not on carriageway,data collected in the 2011 STATS19 specification (or earlier)
99,unknown (self reported),data collected in the 2011 STATS19 specification (or earlier)
-1,Data missing or out of range,data collected in the 2011 STATS19 specification (or earlier)
