code,label,note
1,Reversing,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
2,Parked,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
3,Waiting to go ahead,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
4,Slowing or stopping,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
5,Moving off,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
6,U-turn,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
7,Turning left,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
8,Waiting to turn left,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
9,Turning right,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
10,Waiting to turn right,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
11,Changing lane to left,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
12,Changing lane to right,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
13,Over taking moving vehicle on its offside,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
14,Overtaking stationary vehicle on its offside,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
15,Overtaking on nearside (passengers side nearest kerb),New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
19,Going ahead,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
20,Parking,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
99,unknown (self reported),New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
-1,Data missing or out of range,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
