code,label,note
1,Reversing,data collected in the 2011 STATS19 specification (or earlier)
2,Parked,data collected in the 2011 STATS19 specification (or earlier)
3,Waiting to go - held up,data collected in the 2011 STATS19 specification (or earlier)
4,Slowing or stopping,data collected in the 2011 STATS19 specification (or earlier)
5,Moving off,data collected in the 2011 STATS19 specification (or earlier)
6,U-turn,data collected in the 2011 STATS19 specification (or earlier)
7,Turning left,data collected in the 2011 STATS19 specification (or earlier)
8,Waiting to turn left,data collected in the 2011 STATS19 specification (or earlier)
9,Turning right,data collected in the 2011 STATS19 specification (or earlier)
10,Waiting to turn right,data collected in the 2011 STATS19 specification (or earlier)
11,Changing lane to left,data collected in the 2011 STATS19 specification (or earlier)
12,Changing lane to right,data collected in the 2011 STATS19 specification (or earlier)
13,Overtaking moving vehicle - offside,data collected in the 2011 STATS19 specification (or earlier)
14,Overtaking static vehicle - offside,data collected in the 2011 STATS19 specification (or earlier)
15,Overtaking - nearside,data collected in the 2011 STATS19 specification (or earlier)
16,Going ahead left-hand bend,data collected in the 2011 STATS19 specification (or earlier)
17,Going ahead right-hand bend,data collected in the 2011 STATS19 specification (or earlier)
18,Going ahead other,data collected in the 2011 STATS19 specification (or earlier)
99,unknown (self reported),data collected in the 2011 STATS19 specification (or earlier)
-1,Data missing or out of range,data collected in the 2011 STATS19 specification (or earlier)
