code,label,note
1,Pedal cycle,
2,Motorcycle 50cc and under,
3,Motorcycle 125cc and under,category introduced in 1999 specification
4,Motorcycle over 125cc and up to 500cc,category introduced in 2005 specification
5,Motorcycle over 500cc,category introduced in 2005 specification
8,Taxi/Private hire car,category introduced in 2005 specification
9,Car,category introduced in 2005 specification
10,Minibus (8 - 16 passenger seats),category introduced in 1999 specification
11,Bus or coach (17 or more pass seats),
16,Ridden horse,category introduced in 1999 specification
17,Agricultural vehicle,category introduced in 1999 specification
18,Tram,category introduced in 1999 specification
19,Van / Goods 3.5 tonnes mgw or under,
20,Goods over 3.5t. and under 7.5t,category introduced in 1999 specification
21,Goods 7.5 tonnes mgw and over,category introduced in 1999 specification
22,Mobility scooter,cateogry introduced in 2011 specification
23,Electric motorcycle,cateogry introduced in 2011 specification
90,Other vehicle,cateogry introduced in 2011 specification
97,Motorcycle - unknown cc,cateogry introduced in 2011 specification
98,Goods vehicle - unknown weight,cateogry introduced in 2011 specification
99,Unknown vehicle type (self rep only),cateogry introduced in 2011 specification
103,Motorcycle - Scooter (1979-1998),cateogory discontinued in 1999 specification
104,Motorcycle (1979-1998),cateogory discontinued in 1999 specification
105,Motorcycle - Combination (1979-1998),cateogory discontinued in 1999 specification
106,Motorcycle over 125cc (1999-2004),cateogory discontinued in 2005 specification
108,Taxi (excluding private hire cars) (1979-2004),cateogory discontinued in 2005 specification
109,Car (including private hire cars) (1979-2004),cateogory discontinued in 2005 specification
110,Minibus/Motor caravan (1979-1998),cateogory discontinued in 1999 specification
113,Goods over 3.5 tonnes (1979-1998),cateogory discontinued in 1999 specification
-1,Data missing or out of range,
