city_id,country_id,AQI Category_id,CO AQI Category_id,Ozone AQI Category_id,NO2 AQI Category_id,PM2.5 AQI Category_id,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
1,1,1,1,1,1,1,28,1,28,4,22
2,1,1,1,1,1,1,31,0,30,3,31
3,1,1,1,1,1,1,39,1,15,11,39
4,1,1,1,1,1,1,49,1,17,8,49
5,1,1,1,1,1,1,33,1,16,10,33
6,1,1,1,1,1,1,40,1,11,11,40
7,1,1,1,1,1,1,30,0,30,1,25
8,1,1,1,1,1,1,32,1,32,3,22
9,1,1,1,1,1,1,34,1,29,1,34
10,1,1,1,1,1,1,35,1,35,0,32
11,1,1,1,1,1,1,46,1,27,4,46
12,1,2,1,1,1,2,67,0,33,0,67
