Hourly measurement data supplied by UK-air on 04/05/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,,,"London Bloomsbury",,,,"London Eltham",,,,"London Harlington",,,,"London Hillingdon",,"London Honor Oak Park",,,,"London Marylebone Road",,,,,,"London N. Kensington",,,,,,"London Teddington Bushy Park",,,,"London Westminster",
Latitude,,51.466030,,,,51.522290,,,,51.452580,,,,51.488790,,,,51.496330,,51.449674,,,,51.522530,,,,,,51.521050,,,,,,51.425286,,,,51.494670,,
Longitude,,0.184806,,,,-0.125889,,,,0.070766,,,,-0.441614,,,,-0.460861,,-0.037418,,,,-0.154611,,,,,,-0.213419,,,,,,-0.345606,,,,-0.131931,,
Site Type,,Suburban Background,,,,Urban Background,,,,Suburban Background,,,,Urban Industrial,,,,Urban Background,,Urban Background,,,,Urban Traffic,,,,,,Urban Background,,,,,,Urban Background,,,,Urban Background,,
Zone,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,Greater London,,,,Greater London,,,,,,Greater London,,,,,,Greater London,,,,Greater London,,
Agglomeration,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,Greater London Urban Area,,,,Greater London Urban Area,,,,,,Greater London Urban Area,,,,,,Greater London Urban Area,,,,Greater London Urban Area,,
Local Authority,,"Bexley",,,,"Camden",,,,"Greenwich",,,,"Hillingdon",,,,"Hillingdon",,"Lewisham",,,,"Westminster",,,,,,"Kensington",,,,,,"Richmond",,,,"Westminster",,
Date,Time,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2021-01-01,01:00:00,45.525,V ugm-3 (FIDAS),39.552,V ugm-3 (Ref.eq),18.358,V ugm-3 (Ref.eq),20,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),25.838,V ugm-3 (FIDAS),22.453,V ugm-3 (Ref.eq),,,33.275,V ugm-3 (FIDAS),29.316,V ugm-3 (Ref.eq),0.263926,V mgm-3,21.3,V ugm-3 (TEOM FDMS),18.6,V ugm-3 (TEOM FDMS),0.140844,V mgm-3,35.15,V ugm-3 (FIDAS),30.448,V ugm-3 (Ref.eq),35.275,V ugm-3 (FIDAS),31.085,V ugm-3 (Ref.eq),20,V ugm-3 (BAM)
2021-01-01,02:00:00,60.375,V ugm-3 (FIDAS),52.359,V ugm-3 (Ref.eq),22.223,V ugm-3 (Ref.eq),19,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),21.028,V ugm-3 (FIDAS),19.099,V ugm-3 (Ref.eq),,,21.625,V ugm-3 (FIDAS),19.293,V ugm-3 (Ref.eq),0.294213,V mgm-3,45.1,V ugm-3 (TEOM FDMS),40.3,V ugm-3 (TEOM FDMS),0.129106,V mgm-3,65.475,V ugm-3 (FIDAS),55.802,V ugm-3 (Ref.eq),32.175,V ugm-3 (FIDAS),28.585,V ugm-3 (Ref.eq),26,V ugm-3 (BAM)
2021-01-01,03:00:00,23.775,V ugm-3 (FIDAS),20.92,V ugm-3 (Ref.eq),22.223,V ugm-3 (Ref.eq),14,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),23.18,V ugm-3 (FIDAS),20.925,V ugm-3 (Ref.eq),,,18.775,V ugm-3 (FIDAS),16.604,V ugm-3 (Ref.eq),0.27258,V mgm-3,25.6,V ugm-3 (TEOM FDMS),23.9,V ugm-3 (TEOM FDMS),0.114435,V mgm-3,32.675,V ugm-3 (FIDAS),28.278,V ugm-3 (Ref.eq),27.175,V ugm-3 (FIDAS),24.481,V ugm-3 (Ref.eq),24,V ugm-3 (BAM)
