Hourly measurement data supplied by UK-air on 04/05/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,,,"London Bloomsbury",,,,"London Eltham",,,,"London Harlington",,,,"London Hillingdon",,,,"London Honor Oak Park",,,,"London Marylebone Road",,,,,,"London N. Kensington",,,,,,"London Teddington Bushy Park",,,,"London Westminster",
Latitude,,51.466030,,,,51.522290,,,,51.452580,,,,51.488790,,,,51.496330,,,,51.449674,,,,51.522530,,,,,,51.521050,,,,,,51.425286,,,,51.494670,,
Longitude,,0.184806,,,,-0.125889,,,,0.070766,,,,-0.441614,,,,-0.460861,,,,-0.037418,,,,-0.154611,,,,,,-0.213419,,,,,,-0.345606,,,,-0.131931,,
Site Type,,Suburban Background,,,,Urban Background,,,,Suburban Background,,,,Urban Industrial,,,,Urban Background,,,,Urban Background,,,,Urban Traffic,,,,,,Urban Background,,,,,,Urban Background,,,,Urban Background,,
Zone,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,,,Greater London,,,,,,Greater London,,,,Greater London,,
Agglomeration,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,,,Greater London Urban Area,,,,,,Greater London Urban Area,,,,Greater London Urban Area,,
Local Authority,,"Bexley",,,,"Camden",,,,"Greenwich",,,,"Hillingdon",,,,"Hillingdon",,,,"Lewisham",,,,"Westminster",,,,,,"Kensington",,,,,,"Richmond",,,,"Westminster",,
Date,Time,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2022-01-01,01:00:00,12.9,V ugm-3 (FIDAS),10.283,V ugm-3 (Ref.eq),19.421,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),15.59,V ugm-3 (FIDAS),12.427,V ugm-3 (Ref.eq),,,,,18.5,V ugm-3 (FIDAS),15.189,V ugm-3 (Ref.eq),0.244482,V mgm-3,18.358,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),0.209556,V mgm-3,14.9,V ugm-3 (FIDAS),12.076,V ugm-3 (Ref.eq),16,V ugm-3 (FIDAS),11.887,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
2022-01-01,02:00:00,14.6,V ugm-3 (FIDAS),11.321,V ugm-3 (Ref.eq),12.657,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),13.158,V ugm-3 (FIDAS),10.226,V ugm-3 (Ref.eq),,,,,16.4,V ugm-3 (FIDAS),12.642,V ugm-3 (Ref.eq),0.337618,V mgm-3,21.256,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),0.197914,V mgm-3,16.3,V ugm-3 (FIDAS),12.642,V ugm-3 (Ref.eq),14.925,V ugm-3 (FIDAS),11.014,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2022-01-01,03:00:00,13.5,V ugm-3 (FIDAS),10.755,V ugm-3 (Ref.eq),22.319,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),12.653,V ugm-3 (FIDAS),9.661,V ugm-3 (Ref.eq),,,,,13.9,V ugm-3 (FIDAS),11.038,V ugm-3 (Ref.eq),0.29105,V mgm-3,25.121,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),0.221198,V mgm-3,15.4,V ugm-3 (FIDAS),11.604,V ugm-3 (Ref.eq),13.975,V ugm-3 (FIDAS),10.377,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2022-01-01,04:00:00,12.7,V ugm-3 (FIDAS),9.528,V ugm-3 (Ref.eq),17.488,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),12.578,V ugm-3 (FIDAS),9.232,V ugm-3 (Ref.eq),,,,,12.6,V ugm-3 (FIDAS),9.717,V ugm-3 (Ref.eq),0.29105,V mgm-3,16.425,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),0.186272,V mgm-3,13.6,V ugm-3 (FIDAS),10.189,V ugm-3 (Ref.eq),14.225,V ugm-3 (FIDAS),10.189,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
2022-01-01,05:00:00,10.8,V ugm-3 (FIDAS),7.547,V ugm-3 (Ref.eq),13.623,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),10.367,V ugm-3 (FIDAS),7.719,V ugm-3 (Ref.eq),,,,,10.7,V ugm-3 (FIDAS),7.453,V ugm-3 (Ref.eq),0.244482,V mgm-3,20.29,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),0.186272,V mgm-3,10.9,V ugm-3 (FIDAS),8.302,V ugm-3 (Ref.eq),11.3,V ugm-3 (FIDAS),7.736,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2022-01-01,06:00:00,10.1,V ugm-3 (FIDAS),6.887,V ugm-3 (Ref.eq),16.522,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),8.192,V ugm-3 (FIDAS),5.967,V ugm-3 (Ref.eq),,,,,9.5,V ugm-3 (FIDAS),6.509,V ugm-3 (Ref.eq),0.209556,V mgm-3,8.696,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),0.17463,V mgm-3,9.3,V ugm-3 (FIDAS),6.698,V ugm-3 (Ref.eq),10,V ugm-3 (FIDAS),6.627,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2022-01-01,07:00:00,11.9,V ugm-3 (FIDAS),8.019,V ugm-3 (Ref.eq),14.59,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),8.63,V ugm-3 (FIDAS),6.396,V ugm-3 (Ref.eq),,,,,9.9,V ugm-3 (FIDAS),7.076,V ugm-3 (Ref.eq),0.186272,V mgm-3,13.527,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),0.17463,V mgm-3,10.3,V ugm-3 (FIDAS),6.887,V ugm-3 (Ref.eq),11.325,V ugm-3 (FIDAS),7.429,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2022-01-01,08:00:00,10.9,V ugm-3 (FIDAS),7.547,V ugm-3 (Ref.eq),10.725,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),9.078,V ugm-3 (FIDAS),6.135,V ugm-3 (Ref.eq),,,,,8.9,V ugm-3 (FIDAS),6.132,V ugm-3 (Ref.eq),0.209556,V mgm-3,8.696,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),0.162988,V mgm-3,10,V ugm-3 (FIDAS),6.887,V ugm-3 (Ref.eq),11.25,V ugm-3 (FIDAS),7.311,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2022-01-01,09:00:00,11.1,V ugm-3 (FIDAS),7.076,V ugm-3 (Ref.eq),15.556,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),8.31,V ugm-3 (FIDAS),5.787,V ugm-3 (Ref.eq),,,,,9.2,V ugm-3 (FIDAS),5.943,V ugm-3 (Ref.eq),0.197914,V mgm-3,14.493,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),0.139704,V mgm-3,9.2,V ugm-3 (FIDAS),5.943,V ugm-3 (Ref.eq),10.825,V ugm-3 (FIDAS),6.722,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2022-01-01,10:00:00,10.2,V ugm-3 (FIDAS),6.415,V ugm-3 (Ref.eq),6.86,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),9.584,V ugm-3 (FIDAS),6.255,V ugm-3 (Ref.eq),,,,,10.1,V ugm-3 (FIDAS),5.943,V ugm-3 (Ref.eq),0.209556,V mgm-3,15.459,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),0.151346,V mgm-3,10.3,V ugm-3 (FIDAS),6.415,V ugm-3 (Ref.eq),10.5,V ugm-3 (FIDAS),6.486,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
