Hourly measurement data supplied by UK-air on 04/05/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,,,"London Bloomsbury",,,,"London Harlington",,,,"London Hillingdon",,,,"London Honor Oak Park",,,,"London Marylebone Road",,,,,,"London N. Kensington",,,,,,"London Teddington Bushy Park",,,,"London Westminster",
Latitude,,51.466030,,,,51.522290,,,,51.488790,,,,51.496330,,,,51.449674,,,,51.522530,,,,,,51.521050,,,,,,51.425286,,,,51.494670,,
Longitude,,0.184806,,,,-0.125889,,,,-0.441614,,,,-0.460861,,,,-0.037418,,,,-0.154611,,,,,,-0.213419,,,,,,-0.345606,,,,-0.131931,,
Site Type,,Suburban Background,,,,Urban Background,,,,Urban Industrial,,,,Urban Background,,,,Urban Background,,,,Urban Traffic,,,,,,Urban Background,,,,,,Urban Background,,,,Urban Background,,
Zone,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,,,Greater London,,,,,,Greater London,,,,Greater London,,
Agglomeration,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,,,Greater London Urban Area,,,,,,Greater London Urban Area,,,,Greater London Urban Area,,
Local Authority,,"Bexley",,,,"Camden",,,,"Hillingdon",,,,"Hillingdon",,,,"Lewisham",,,,"Westminster",,,,,,"Kensington",,,,,,"Richmond",,,,"Westminster",,
Date,Time,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2024-01-01,01:00:00,12.2,V ugm-3 (FIDAS),8.585,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),8.991,V ugm-3 (FIDAS),6.424,V ugm-3 (Ref.eq),9.05,V ugm-3 (FIDAS),5.542,V ugm-3 (Ref.eq),11.3,V ugm-3 (FIDAS),7.547,V ugm-3 (Ref.eq),0.244482,V mgm-3,18.358,V ugm-3 (Ref.eq),21,V ugm-3 (BAM),0.128062,V mgm-3,13.5,V ugm-3 (FIDAS),9.906,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2024-01-01,02:00:00,8.2,V ugm-3 (FIDAS),4.906,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),5.739,V ugm-3 (FIDAS),3.498,V ugm-3 (Ref.eq),7.875,V ugm-3 (FIDAS),4.316,V ugm-3 (Ref.eq),7.6,V ugm-3 (FIDAS),4.623,V ugm-3 (Ref.eq),0.372544,V mgm-3,10.628,V ugm-3 (Ref.eq),8,V ugm-3 (BAM),0.151346,V mgm-3,7.8,V ugm-3 (FIDAS),4.623,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2024-01-01,03:00:00,7.5,V ugm-3 (FIDAS),4.245,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),6.83,V ugm-3 (FIDAS),3.852,V ugm-3 (Ref.eq),9.1,V ugm-3 (FIDAS),4.67,V ugm-3 (Ref.eq),8.5,V ugm-3 (FIDAS),4.245,V ugm-3 (Ref.eq),0.267766,V mgm-3,10.628,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),0.151346,V mgm-3,7.2,V ugm-3 (FIDAS),4.245,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2024-01-01,04:00:00,7.2,V ugm-3 (FIDAS),4.057,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),5.546,V ugm-3 (FIDAS),2.975,V ugm-3 (Ref.eq),6.3,V ugm-3 (FIDAS),3.467,V ugm-3 (Ref.eq),7.2,V ugm-3 (FIDAS),3.679,V ugm-3 (Ref.eq),0.314334,V mgm-3,13.527,V ugm-3 (Ref.eq),9,V ugm-3 (BAM),0.151346,V mgm-3,7.3,V ugm-3 (FIDAS),3.774,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2024-01-01,05:00:00,6.8,V ugm-3 (FIDAS),3.868,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),5.691,V ugm-3 (FIDAS),3.109,V ugm-3 (Ref.eq),6.55,V ugm-3 (FIDAS),3.538,V ugm-3 (Ref.eq),6.7,V ugm-3 (FIDAS),3.774,V ugm-3 (Ref.eq),0.256124,V mgm-3,11.594,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),0.162988,V mgm-3,5.4,V ugm-3 (FIDAS),3.019,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2024-01-01,06:00:00,8.6,V ugm-3 (FIDAS),4.811,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),8.422,V ugm-3 (FIDAS),4.505,V ugm-3 (Ref.eq),8.825,V ugm-3 (FIDAS),5.024,V ugm-3 (Ref.eq),9.3,V ugm-3 (FIDAS),4.717,V ugm-3 (Ref.eq),0.244482,V mgm-3,11.594,V ugm-3 (Ref.eq),11,V ugm-3 (BAM),0.162988,V mgm-3,7.7,V ugm-3 (FIDAS),4.245,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2024-01-01,07:00:00,10.7,V ugm-3 (FIDAS),5.66,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),10.335,V ugm-3 (FIDAS),5.552,V ugm-3 (Ref.eq),11.75,V ugm-3 (FIDAS),6.392,V ugm-3 (Ref.eq),11.1,V ugm-3 (FIDAS),5.566,V ugm-3 (Ref.eq),0.221198,V mgm-3,21.256,V ugm-3 (Ref.eq),9,V ugm-3 (BAM),0.162988,V mgm-3,11,V ugm-3 (FIDAS),5.566,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2024-01-01,08:00:00,12.4,V ugm-3 (FIDAS),6.698,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),11.933,V ugm-3 (FIDAS),6.301,V ugm-3 (Ref.eq),13.5,V ugm-3 (FIDAS),7.005,V ugm-3 (Ref.eq),12.5,V ugm-3 (FIDAS),6.509,V ugm-3 (Ref.eq),0.186272,V mgm-3,17.392,V ugm-3 (Ref.eq),10,V ugm-3 (BAM),0.162988,V mgm-3,11.5,V ugm-3 (FIDAS),6.132,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2024-01-01,09:00:00,15.4,V ugm-3 (FIDAS),8.113,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),13.505,V ugm-3 (FIDAS),6.847,V ugm-3 (Ref.eq),15.925,V ugm-3 (FIDAS),7.901,V ugm-3 (Ref.eq),16.4,V ugm-3 (FIDAS),7.547,V ugm-3 (Ref.eq),0.186272,V mgm-3,25.121,V ugm-3 (Ref.eq),18,V ugm-3 (BAM),0.162988,V mgm-3,15.2,V ugm-3 (FIDAS),7.359,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2024-01-01,10:00:00,16.9,V ugm-3 (FIDAS),8.208,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),12.868,V ugm-3 (FIDAS),6.579,V ugm-3 (Ref.eq),16.125,V ugm-3 (FIDAS),7.665,V ugm-3 (Ref.eq),16,V ugm-3 (FIDAS),7.547,V ugm-3 (Ref.eq),0.162988,V mgm-3,21.256,V ugm-3 (Ref.eq),13,V ugm-3 (BAM),0.151346,V mgm-3,14.2,V ugm-3 (FIDAS),7.264,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
