location_id,measurement_type_id,year,date,time,value,status
1,1,2020,2020-01-01,01:00:00,,
2,1,2020,2020-01-01,01:00:00,44.9,V
3,1,2020,2020-01-01,01:00:00,,
4,1,2020,2020-01-01,01:00:00,66.335,V
5,1,2020,2020-01-01,01:00:00,,
6,1,2020,2020-01-01,01:00:00,68.3,V
7,2,2020,2020-01-01,01:00:00,,V
8,2,2020,2020-01-01,01:00:00,0.213586,V
9,1,2020,2020-01-01,01:00:00,,V
10,3,2020,2020-01-01,01:00:00,42,V
1,1,2020,2020-01-01,02:00:00,,
2,1,2020,2020-01-01,02:00:00,48.5,V
3,1,2020,2020-01-01,02:00:00,,
4,1,2020,2020-01-01,02:00:00,82.37,V
5,1,2020,2020-01-01,02:00:00,,
6,1,2020,2020-01-01,02:00:00,54.3,V
7,2,2020,2020-01-01,02:00:00,0.397528,V
8,2,2020,2020-01-01,02:00:00,0.236887,V
9,1,2020,2020-01-01,02:00:00,52.275,V
10,3,2020,2020-01-01,02:00:00,48,V
1,1,2020,2020-01-01,03:00:00,,
2,1,2020,2020-01-01,03:00:00,49.1,V
3,1,2020,2020-01-01,03:00:00,,
4,1,2020,2020-01-01,03:00:00,53.073,V
5,1,2020,2020-01-01,03:00:00,,
6,1,2020,2020-01-01,03:00:00,52.95,V
7,2,2020,2020-01-01,03:00:00,0.346417,V
8,2,2020,2020-01-01,03:00:00,0.203878,V
9,1,2020,2020-01-01,03:00:00,53.5,V
10,3,2020,2020-01-01,03:00:00,52,V
1,1,2020,2020-01-01,04:00:00,,
2,1,2020,2020-01-01,04:00:00,53.1,V
3,1,2020,2020-01-01,04:00:00,,
4,1,2020,2020-01-01,04:00:00,52.525,V
5,1,2020,2020-01-01,04:00:00,,
6,1,2020,2020-01-01,04:00:00,44.9,V
7,2,2020,2020-01-01,04:00:00,0.335059,V
8,2,2020,2020-01-01,04:00:00,0.203878,V
9,1,2020,2020-01-01,04:00:00,48.2,V
10,3,2020,2020-01-01,04:00:00,48,V
1,1,2020,2020-01-01,05:00:00,,
2,1,2020,2020-01-01,05:00:00,46.3,V
3,1,2020,2020-01-01,05:00:00,,
4,1,2020,2020-01-01,05:00:00,47.043,V
5,1,2020,2020-01-01,05:00:00,,
6,1,2020,2020-01-01,05:00:00,44.35,V
7,2,2020,2020-01-01,05:00:00,0.349257,V
8,2,2020,2020-01-01,05:00:00,0.168928,V
9,1,2020,2020-01-01,05:00:00,43.325,V
10,3,2020,2020-01-01,05:00:00,43,V
1,1,2020,2020-01-01,06:00:00,,
2,1,2020,2020-01-01,06:00:00,43.7,V
3,1,2020,2020-01-01,06:00:00,,
4,1,2020,2020-01-01,06:00:00,45.905,V
5,1,2020,2020-01-01,06:00:00,,
6,1,2020,2020-01-01,06:00:00,44.35,V
7,2,2020,2020-01-01,06:00:00,0.403207,V
8,2,2020,2020-01-01,06:00:00,0.160189,V
9,1,2020,2020-01-01,06:00:00,43.1,V
10,3,2020,2020-01-01,06:00:00,41,V
1,1,2020,2020-01-01,07:00:00,,
2,1,2020,2020-01-01,07:00:00,46.1,V
3,1,2020,2020-01-01,07:00:00,,
4,1,2020,2020-01-01,07:00:00,45.613,V
5,1,2020,2020-01-01,07:00:00,,
6,1,2020,2020-01-01,07:00:00,43.375,V
7,2,2020,2020-01-01,07:00:00,0.377651,V
8,2,2020,2020-01-01,07:00:00,0.157278,V
9,1,2020,2020-01-01,07:00:00,41.15,V
10,3,2020,2020-01-01,07:00:00,39,V
1,1,2020,2020-01-01,08:00:00,,
2,1,2020,2020-01-01,08:00:00,42.7,V
3,1,2020,2020-01-01,08:00:00,,
4,1,2020,2020-01-01,08:00:00,45.16,V
5,1,2020,2020-01-01,08:00:00,,
6,1,2020,2020-01-01,08:00:00,41.8,V
7,2,2020,2020-01-01,08:00:00,0.366293,V
8,2,2020,2020-01-01,08:00:00,0.177665,V
9,1,2020,2020-01-01,08:00:00,40.725,V
10,3,2020,2020-01-01,08:00:00,39,V
1,1,2020,2020-01-01,09:00:00,,
2,1,2020,2020-01-01,09:00:00,42.8,V
3,1,2020,2020-01-01,09:00:00,,
4,1,2020,2020-01-01,09:00:00,43.805,V
5,1,2020,2020-01-01,09:00:00,,
6,1,2020,2020-01-01,09:00:00,36.5,V
7,2,2020,2020-01-01,09:00:00,0.363454,V
8,2,2020,2020-01-01,09:00:00,0.233003,V
9,1,2020,2020-01-01,09:00:00,38.225,V
10,3,2020,2020-01-01,09:00:00,42,V
1,1,2020,2020-01-01,10:00:00,,
2,1,2020,2020-01-01,10:00:00,42.1,V
3,1,2020,2020-01-01,10:00:00,,
4,1,2020,2020-01-01,10:00:00,49.365,V
5,1,2020,2020-01-01,10:00:00,,
6,1,2020,2020-01-01,10:00:00,31.65,V
7,2,2020,2020-01-01,10:00:00,0.394688,V
8,2,2020,2020-01-01,10:00:00,0.329117,V
9,1,2020,2020-01-01,10:00:00,41.075,V
10,3,2020,2020-01-01,10:00:00,41,V
1,1,2020,2020-01-01,11:00:00,,
2,1,2020,2020-01-01,11:00:00,41.3,V
3,1,2020,2020-01-01,11:00:00,,
4,1,2020,2020-01-01,11:00:00,47.183,V
5,1,2020,2020-01-01,11:00:00,,
6,1,2020,2020-01-01,11:00:00,33.225,V
7,2,2020,2020-01-01,11:00:00,0.389009,V
8,2,2020,2020-01-01,11:00:00,0.361155,V
9,1,2020,2020-01-01,11:00:00,41.225,V
10,3,2020,2020-01-01,11:00:00,36,V
1,1,2020,2020-01-01,12:00:00,,
2,1,2020,2020-01-01,12:00:00,41.9,V
3,1,2020,2020-01-01,12:00:00,,
4,1,2020,2020-01-01,12:00:00,44.583,V
5,1,2020,2020-01-01,12:00:00,,
6,1,2020,2020-01-01,12:00:00,36.425,V
7,2,2020,2020-01-01,12:00:00,0.423083,V
8,2,2020,2020-01-01,12:00:00,0.35533,V
9,1,2020,2020-01-01,12:00:00,40.375,V
10,3,2020,2020-01-01,12:00:00,37,V
1,1,2020,2020-01-01,13:00:00,,
2,1,2020,2020-01-01,13:00:00,41,V
3,1,2020,2020-01-01,13:00:00,,
4,1,2020,2020-01-01,13:00:00,34.193,V
5,1,2020,2020-01-01,13:00:00,,
6,1,2020,2020-01-01,13:00:00,38.6,V
7,2,2020,2020-01-01,13:00:00,0.394688,V
8,2,2020,2020-01-01,13:00:00,0.19514,V
9,1,2020,2020-01-01,13:00:00,37.975,V
10,3,2020,2020-01-01,13:00:00,38,V
1,1,2020,2020-01-01,14:00:00,,
2,1,2020,2020-01-01,14:00:00,42.8,V
3,1,2020,2020-01-01,14:00:00,,
4,1,2020,2020-01-01,14:00:00,30.283,V
5,1,2020,2020-01-01,14:00:00,,
6,1,2020,2020-01-01,14:00:00,39.875,V
7,2,2020,2020-01-01,14:00:00,0.360614,V
8,2,2020,2020-01-01,14:00:00,0.180578,V
9,1,2020,2020-01-01,14:00:00,36.2,V
10,3,2020,2020-01-01,14:00:00,36,V
1,1,2020,2020-01-01,15:00:00,,
2,1,2020,2020-01-01,15:00:00,39.1,V
3,1,2020,2020-01-01,15:00:00,,
4,1,2020,2020-01-01,15:00:00,32.237,V
5,1,2020,2020-01-01,15:00:00,,
6,1,2020,2020-01-01,15:00:00,38.625,V
7,2,2020,2020-01-01,15:00:00,0.343578,V
8,2,2020,2020-01-01,15:00:00,0.168928,V
9,1,2020,2020-01-01,15:00:00,35.775,V
10,3,2020,2020-01-01,15:00:00,39,V
1,1,2020,2020-01-01,16:00:00,,
2,1,2020,2020-01-01,16:00:00,35.8,V
3,1,2020,2020-01-01,16:00:00,,
4,1,2020,2020-01-01,16:00:00,32.645,V
5,1,2020,2020-01-01,16:00:00,,
6,1,2020,2020-01-01,16:00:00,40.475,V
7,2,2020,2020-01-01,16:00:00,0.227159,V
8,2,2020,2020-01-01,16:00:00,0.142715,V
9,1,2020,2020-01-01,16:00:00,24.8,V
10,3,2020,2020-01-01,16:00:00,33,V
1,1,2020,2020-01-01,17:00:00,,
2,1,2020,2020-01-01,17:00:00,39.7,V
3,1,2020,2020-01-01,17:00:00,,
4,1,2020,2020-01-01,17:00:00,25.42,V
5,1,2020,2020-01-01,17:00:00,,
6,1,2020,2020-01-01,17:00:00,36.5,V
7,2,2020,2020-01-01,17:00:00,0.380491,V
8,2,2020,2020-01-01,17:00:00,0.107764,V
9,1,2020,2020-01-01,17:00:00,33.175,V
10,3,2020,2020-01-01,17:00:00,33,V
1,1,2020,2020-01-01,18:00:00,,
2,1,2020,2020-01-01,18:00:00,36.1,V
3,1,2020,2020-01-01,18:00:00,,
4,1,2020,2020-01-01,18:00:00,18.063,V
5,1,2020,2020-01-01,18:00:00,,
6,1,2020,2020-01-01,18:00:00,35.8,V
7,2,2020,2020-01-01,18:00:00,0.309504,V
8,2,2020,2020-01-01,18:00:00,0.101939,V
9,1,2020,2020-01-01,18:00:00,33.2,V
10,3,2020,2020-01-01,18:00:00,32,V
1,1,2020,2020-01-01,19:00:00,,
2,1,2020,2020-01-01,19:00:00,33.2,V
3,1,2020,2020-01-01,19:00:00,,
4,1,2020,2020-01-01,19:00:00,23.218,V
5,1,2020,2020-01-01,19:00:00,,
6,1,2020,2020-01-01,19:00:00,32.2,V
7,2,2020,2020-01-01,19:00:00,0.255554,V
8,2,2020,2020-01-01,19:00:00,0.148539,V
9,1,2020,2020-01-01,19:00:00,26.725,V
10,3,2020,2020-01-01,19:00:00,34,V
1,1,2020,2020-01-01,20:00:00,,
2,1,2020,2020-01-01,20:00:00,32.3,V
3,1,2020,2020-01-01,20:00:00,,
4,1,2020,2020-01-01,20:00:00,31.763,V
5,1,2020,2020-01-01,20:00:00,,
6,1,2020,2020-01-01,20:00:00,31.4,V
7,2,2020,2020-01-01,20:00:00,0.247035,V
8,2,2020,2020-01-01,20:00:00,0.145627,V
9,1,2020,2020-01-01,20:00:00,22.25,V
10,3,2020,2020-01-01,20:00:00,30,V
1,1,2020,2020-01-01,21:00:00,,
2,1,2020,2020-01-01,21:00:00,28.8,V
3,1,2020,2020-01-01,21:00:00,,
4,1,2020,2020-01-01,21:00:00,25.403,V
5,1,2020,2020-01-01,21:00:00,,
6,1,2020,2020-01-01,21:00:00,28.4,V
7,2,2020,2020-01-01,21:00:00,0.184566,V
8,2,2020,2020-01-01,21:00:00,0.093201,V
9,1,2020,2020-01-01,21:00:00,23.75,V
10,3,2020,2020-01-01,21:00:00,27,V
1,1,2020,2020-01-01,22:00:00,,
2,1,2020,2020-01-01,22:00:00,30.1,V
3,1,2020,2020-01-01,22:00:00,,
4,1,2020,2020-01-01,22:00:00,28.708,V
5,1,2020,2020-01-01,22:00:00,,
6,1,2020,2020-01-01,22:00:00,30.075,V
7,2,2020,2020-01-01,22:00:00,0.198764,V
8,2,2020,2020-01-01,22:00:00,0.122327,V
9,1,2020,2020-01-01,22:00:00,26.9,V
10,3,2020,2020-01-01,22:00:00,22,V
1,1,2020,2020-01-01,23:00:00,,
2,1,2020,2020-01-01,23:00:00,25.3,V
3,1,2020,2020-01-01,23:00:00,,
4,1,2020,2020-01-01,23:00:00,29.315,V
5,1,2020,2020-01-01,23:00:00,,
6,1,2020,2020-01-01,23:00:00,23.75,V
7,2,2020,2020-01-01,23:00:00,0.247035,V
8,2,2020,2020-01-01,23:00:00,0.093201,V
9,1,2020,2020-01-01,23:00:00,27.125,V
10,3,2020,2020-01-01,23:00:00,24,V
1,1,2020,2020-01-01,24:00:00,,
2,1,2020,2020-01-01,24:00:00,21.8,V
3,1,2020,2020-01-01,24:00:00,,
4,1,2020,2020-01-01,24:00:00,27.673,V
5,1,2020,2020-01-01,24:00:00,,
6,1,2020,2020-01-01,24:00:00,16.9,V
7,2,2020,2020-01-01,24:00:00,0.102221,V
8,2,2020,2020-01-01,24:00:00,0.093201,V
9,1,2020,2020-01-01,24:00:00,19.2,V
10,3,2020,2020-01-01,24:00:00,23,V
1,1,2020,2020-01-02,01:00:00,,
2,1,2020,2020-01-02,01:00:00,20.1,V
3,1,2020,2020-01-02,01:00:00,,
4,1,2020,2020-01-02,01:00:00,19.913,V
5,1,2020,2020-01-02,01:00:00,,
6,1,2020,2020-01-02,01:00:00,11.7,V
